profile_id,condition,control_filler,gender,age_band,race,education,income,party,age,year_birth,ideology,household_size,social_class,region,urbanicity,religion,religiosity,born_again,trust_science_prior
P01202,Corporate reliance,,Male,60+,Black / African American,Master's degree / Professional degree,"$30,000 to $55,999",Democrat,85,1941,"moderate, middle of the road",2,middle class,south,"other urban (counties having towns of 10,000 or more)",protestant,strong,yes,only some
P01203,Corporate reliance,,Female,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent,40,1986,"moderate, middle of the road",2,middle class,midwest,"other urban (counties having towns of 10,000 or more)",protestant,somewhat strong (vol.),no,
P01204,Corporate reliance,,Male,30-44,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,36,1990,slightly liberal,2,working class,south,,none,,no,only some
P01205,Corporate reliance,,Male,30-44,Asian / Asian American,Bachelor's degree,"$168,000 or more",Independent,36,1990,slightly conservative,2,middle class,west,central city of 12 largest smsas,none,,no,hardly any
P01206,Corporate reliance,,Male,18-29,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Independent,22,2004,slightly conservative,2,middle class,northeast,central city of 12 largest smsas,protestant,strong,no,
P01207,Corporate reliance,,Female,60+,Black / African American,Less than high school,"$30,000 to $55,999",Independent,60,1966,"moderate, middle of the road",3,working class,midwest,"other urban (counties having towns of 10,000 or more)",muslim/islam,,no,a great deal
P01208,Corporate reliance,,Male,60+,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,67,1959,slightly conservative,2,working class,midwest,suburbs of 12 largest smsas,catholic,somewhat strong (vol.),no,
P01209,Corporate reliance,,Male,30-44,Hispanic / Latino,Bachelor's degree,"$100,000 to $167,999",Republican,43,1983,conservative,5,working class,west,central city of the remainder of the 100 largest smsas,protestant,,yes,only some
P01210,Corporate reliance,,Male,30-44,Asian / Asian American,High school diploma / GED,"$100,000 to $167,999",Democrat,30,1996,liberal,2,working class,midwest,"other urban (counties having towns of 10,000 or more)",buddhism,,no,a great deal
P01211,Corporate reliance,,Male,60+,Black / African American,High school diploma / GED,"$100,000 to $167,999",Democrat,60,1966,"moderate, middle of the road",4,middle class,south,suburbs of the remaining 100 largest smsas,protestant,,,
P01212,Corporate reliance,,Female,30-44,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat,34,1992,"moderate, middle of the road",3,working class,south,suburbs of the remaining 100 largest smsas,orthodox-christian,,no,only some
P01213,Corporate reliance,,Male,60+,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Republican,89,1937,extremely conservative,6,middle class,west,"other rural (counties having no towns of 10,000 or more)",protestant,,,
P01214,Corporate reliance,,Male,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent,41,1985,slightly conservative,2,lower class,northeast,suburbs of the remaining 100 largest smsas,protestant,,no,a great deal
P01215,Corporate reliance,,Female,45-59,Hispanic / Latino,Less than high school,"Less than $30,000",Republican,46,1980,"moderate, middle of the road",6,middle class,south,"other urban (counties having towns of 10,000 or more)",catholic,strong,yes,
P01216,Corporate reliance,,Female,45-59,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Independent,56,1970,conservative,3,working class,west,central city of 12 largest smsas,protestant,strong,yes,hardly any
P01217,Corporate reliance,,Male,18-29,Black / African American,High school diploma / GED,"Less than $30,000",Independent,21,2005,slightly liberal,2,working class,midwest,,none,no religion,yes,only some
P01218,Corporate reliance,,Male,30-44,Other,Some college or Associate's degree,"$56,000 to $99,999",Independent,41,1985,"moderate, middle of the road",7,working class,south,suburbs of 12 largest smsas,none,no religion,no,
P01219,Corporate reliance,,Female,18-29,Hispanic / Latino,Less than high school,"Less than $30,000",Independent,27,1999,liberal,5,working class,south,central city of 12 largest smsas,catholic,not very strong,yes,a great deal
P01220,Corporate reliance,,Female,45-59,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,49,1977,conservative,1,middle class,south,"other urban (counties having towns of 10,000 or more)",protestant,,no,only some
P01221,Corporate reliance,,Female,30-44,Hispanic / Latino,Master's degree / Professional degree,"$168,000 or more",Democrat,36,1990,liberal,4,middle class,west,central city of 12 largest smsas,orthodox-christian,,no,a great deal
P01222,Corporate reliance,,Female,45-59,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Republican,54,1972,slightly conservative,2,working class,west,suburbs of 12 largest smsas,catholic,not very strong,no,only some
P01223,Corporate reliance,,Male,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Other,44,1982,slightly conservative,2,middle class,midwest,"other urban (counties having towns of 10,000 or more)",protestant,not very strong,no,only some
P01224,Corporate reliance,,Male,45-59,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat,58,1968,slightly liberal,2,middle class,midwest,"other urban (counties having towns of 10,000 or more)",protestant,not very strong,yes,
P01225,Corporate reliance,,Male,60+,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,60,1966,slightly conservative,2,middle class,south,suburbs of 12 largest smsas,catholic,not very strong,yes,
P01226,Corporate reliance,,Male,60+,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,64,1962,slightly liberal,2,working class,midwest,"other urban (counties having towns of 10,000 or more)",protestant,,yes,only some
P01227,Corporate reliance,,Male,18-29,Hispanic / Latino,High school diploma / GED,"$168,000 or more",Independent,19,2007,"moderate, middle of the road",2,middle class,west,,none,,no,a great deal
P01228,Corporate reliance,,Female,30-44,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,42,1984,extremely liberal,2,working class,midwest,,protestant,strong,yes,
P01229,Corporate reliance,,Female,30-44,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,33,1993,liberal,2,middle class,south,,none,no religion,no,
P01230,Corporate reliance,,Female,60+,White / Caucasian,Bachelor's degree,"$168,000 or more",Democrat,72,1954,liberal,2,upper class,south,central city of the remainder of the 100 largest smsas,protestant,,no,
P01231,Corporate reliance,,Female,30-44,Hispanic / Latino,Bachelor's degree,"$168,000 or more",Independent,37,1989,"moderate, middle of the road",4,middle class,northeast,suburbs of 12 largest smsas,catholic,not very strong,no,only some
P01232,Corporate reliance,,Male,18-29,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent,22,2004,conservative,2,middle class,south,suburbs of the remaining 100 largest smsas,protestant,strong,yes,only some
P01233,Corporate reliance,,Male,45-59,Other,Bachelor's degree,"$30,000 to $55,999",Democrat,59,1967,slightly liberal,1,middle class,midwest,"other urban (counties having towns of 10,000 or more)",christian,,yes,
P01234,Corporate reliance,,Male,18-29,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Independent,25,2001,slightly conservative,2,working class,west,suburbs of the remaining 100 largest smsas,catholic,,no,only some
P01235,Corporate reliance,,Male,45-59,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Independent,47,1979,conservative,2,middle class,west,suburbs of 12 largest smsas,catholic,not very strong,no,a great deal
P01236,Corporate reliance,,Male,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,84,1942,slightly liberal,2,middle class,south,suburbs of 12 largest smsas,protestant,not very strong,no,
P01237,Corporate reliance,,Female,60+,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat,64,1962,liberal,2,middle class,west,,none,,no,
P01238,Corporate reliance,,Male,18-29,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent,25,2001,"moderate, middle of the road",2,working class,south,,protestant,strong,yes,
P01239,Corporate reliance,,Female,45-59,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,50,1976,"moderate, middle of the road",2,working class,south,"other rural (counties having no towns of 10,000 or more)",none,no religion,no,only some
P01240,Corporate reliance,,Male,45-59,Asian / Asian American,High school diploma / GED,"$168,000 or more",Independent,55,1971,"moderate, middle of the road",3,working class,west,central city of 12 largest smsas,catholic,,no,only some
P01241,Corporate reliance,,Female,18-29,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Democrat,29,1997,slightly liberal,5,working class,south,"other urban (counties having towns of 10,000 or more)",catholic,,no,only some
P01242,Corporate reliance,,Female,30-44,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican,32,1994,extremely liberal,3,working class,midwest,"other rural (counties having no towns of 10,000 or more)",protestant,,no,hardly any
P01243,Corporate reliance,,Female,18-29,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat,24,2002,liberal,2,middle class,west,"other urban (counties having towns of 10,000 or more)",none,,,
P01244,Corporate reliance,,Female,60+,Black / African American,High school diploma / GED,"$168,000 or more",Democrat,68,1958,slightly liberal,2,middle class,south,"other rural (counties having no towns of 10,000 or more)",protestant,,,
P01245,Corporate reliance,,Male,30-44,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Democrat,32,1994,conservative,3,working class,south,suburbs of the remaining 100 largest smsas,christian,,yes,
P01246,Corporate reliance,,Male,45-59,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican,59,1967,"moderate, middle of the road",1,lower class,midwest,"other rural (counties having no towns of 10,000 or more)",protestant,not very strong,yes,only some
P01247,Corporate reliance,,Male,45-59,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Independent,57,1969,slightly conservative,3,middle class,south,"other urban (counties having towns of 10,000 or more)",protestant,,yes,only some
P01248,Corporate reliance,,Female,30-44,Black / African American,Some college or Associate's degree,"Less than $30,000",Democrat,33,1993,extremely liberal,2,working class,midwest,suburbs of the remaining 100 largest smsas,none,,,
P01249,Corporate reliance,,Male,45-59,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,48,1978,conservative,4,working class,midwest,suburbs of the remaining 100 largest smsas,catholic,,yes,only some
P01250,Corporate reliance,,Female,60+,White / Caucasian,High school diploma / GED,"$168,000 or more",Independent,67,1959,slightly conservative,2,upper class,south,"other urban (counties having towns of 10,000 or more)",protestant,strong,no,a great deal
P01251,Corporate reliance,,Female,18-29,White / Caucasian,Master's degree / Professional degree,"$30,000 to $55,999",Democrat,28,1998,liberal,3,working class,south,"other urban (counties having towns of 10,000 or more)",protestant,,no,a great deal
P01252,Corporate reliance,,Female,30-44,Black / African American,Master's degree / Professional degree,"$168,000 or more",Democrat,37,1989,"moderate, middle of the road",5,middle class,south,suburbs of 12 largest smsas,protestant,,,
P01253,Corporate reliance,,Female,45-59,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Republican,53,1973,"moderate, middle of the road",3,middle class,west,suburbs of the remaining 100 largest smsas,catholic,,,
P01254,Corporate reliance,,Male,45-59,White / Caucasian,High school diploma / GED,"$168,000 or more",Independent,48,1978,conservative,3,middle class,midwest,"other rural (counties having no towns of 10,000 or more)",protestant,strong,yes,only some
P01255,Corporate reliance,,Male,18-29,Other,Less than high school,"$30,000 to $55,999",Independent,22,2004,"moderate, middle of the road",2,working class,south,"other urban (counties having towns of 10,000 or more)",none,no religion,no,
P01256,Corporate reliance,,Female,45-59,Asian / Asian American,Bachelor's degree,"$168,000 or more",Democrat,49,1977,slightly liberal,2,middle class,south,,none,,no,a great deal
P01257,Corporate reliance,,Male,60+,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent,79,1947,"moderate, middle of the road",2,upper class,midwest,,none,no religion,no,a great deal
P01258,Corporate reliance,,Female,45-59,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Republican,53,1973,"moderate, middle of the road",3,middle class,west,suburbs of the remaining 100 largest smsas,catholic,,,
P01259,Corporate reliance,,Female,45-59,White / Caucasian,Doctorate degree / Ph.D.,"$168,000 or more",Democrat,49,1977,liberal,2,upper class,west,,none,,no,a great deal
P01260,Corporate reliance,,Male,30-44,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Independent,40,1986,"moderate, middle of the road",2,working class,west,,none,no religion,no,a great deal
P01261,Corporate reliance,,Female,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,36,1990,slightly conservative,4,middle class,west,,protestant,,yes,
P01262,Corporate reliance,,Male,45-59,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Independent,59,1967,slightly liberal,2,working class,midwest,"other urban (counties having towns of 10,000 or more)",none,no religion,no,a great deal
P01263,Corporate reliance,,Female,45-59,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Republican,51,1975,"moderate, middle of the road",3,middle class,northeast,"other urban (counties having towns of 10,000 or more)",protestant,strong,no,only some
P01264,Corporate reliance,,Male,45-59,Hispanic / Latino,Less than high school,"$30,000 to $55,999",Democrat,56,1970,slightly conservative,2,working class,west,central city of the remainder of the 100 largest smsas,catholic,not very strong,no,
P01265,Corporate reliance,,Male,45-59,Hispanic / Latino,Less than high school,"$30,000 to $55,999",Democrat,56,1970,conservative,3,lower class,west,suburbs of 12 largest smsas,catholic,strong,yes,a great deal
P01266,Corporate reliance,,Female,30-44,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Republican,44,1982,slightly conservative,2,middle class,west,central city of the remainder of the 100 largest smsas,protestant,not very strong,yes,only some
P01267,Corporate reliance,,Male,45-59,Hispanic / Latino,High school diploma / GED,"$100,000 to $167,999",Independent,45,1981,"moderate, middle of the road",2,working class,west,central city of 12 largest smsas,none,,no,
P01268,Corporate reliance,,Female,30-44,Black / African American,Some college or Associate's degree,"$56,000 to $99,999",Independent,31,1995,"moderate, middle of the road",2,working class,south,,other,strong,no,hardly any
P01269,Corporate reliance,,Other,30-44,Black / African American,Bachelor's degree,"$100,000 to $167,999",Democrat,41,1985,liberal,2,working class,south,,catholic,not very strong,no,only some
P01270,Corporate reliance,,Male,60+,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,67,1959,slightly conservative,2,working class,midwest,suburbs of 12 largest smsas,catholic,somewhat strong (vol.),no,
P01271,Corporate reliance,,Male,45-59,Black / African American,High school diploma / GED,"$100,000 to $167,999",Independent,46,1980,"moderate, middle of the road",2,middle class,south,,none,no religion,,
P01272,Corporate reliance,,Female,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,41,1985,conservative,2,middle class,west,central city of the remainder of the 100 largest smsas,protestant,strong,yes,only some
P01273,Corporate reliance,,Male,30-44,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Republican,39,1987,"moderate, middle of the road",3,upper class,south,central city of 12 largest smsas,protestant,,yes,a great deal
P01274,Corporate reliance,,Male,18-29,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,29,1997,conservative,2,working class,south,,protestant,strong,yes,hardly any
P01275,Corporate reliance,,Female,45-59,Asian / Asian American,Master's degree / Professional degree,"$168,000 or more",Independent,53,1973,"moderate, middle of the road",2,upper class,midwest,,hinduism,,no,a great deal
P01276,Corporate reliance,,Male,60+,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Democrat,63,1963,slightly liberal,1,middle class,west,suburbs of the remaining 100 largest smsas,catholic,,no,a great deal
P01277,Corporate reliance,,Male,18-29,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,23,2003,"moderate, middle of the road",4,middle class,northeast,central city of 12 largest smsas,catholic,not very strong,no,a great deal
P01278,Corporate reliance,,Other,30-44,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,35,1991,slightly conservative,6,middle class,south,,protestant,,yes,only some
P01279,Corporate reliance,,Female,18-29,White / Caucasian,Less than high school,"$100,000 to $167,999",Democrat,18,2008,liberal,3,middle class,midwest,,protestant,,no,a great deal
P01280,Corporate reliance,,Female,60+,Hispanic / Latino,Less than high school,"Less than $30,000",Republican,64,1962,slightly liberal,1,working class,northeast,central city of 12 largest smsas,catholic,not very strong,,
P01281,Corporate reliance,,Female,60+,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat,64,1962,liberal,2,middle class,west,"other urban (counties having towns of 10,000 or more)",none,,no,a great deal
P01282,Corporate reliance,,Female,45-59,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,59,1967,"moderate, middle of the road",2,middle class,west,central city of the remainder of the 100 largest smsas,protestant,,no,a great deal
P01283,Corporate reliance,,Female,18-29,White / Caucasian,High school diploma / GED,"$168,000 or more",Republican,18,2008,conservative,4,middle class,south,suburbs of 12 largest smsas,none,,no,hardly any
P01284,Corporate reliance,,Male,60+,Other,High school diploma / GED,"Less than $30,000",Independent,69,1957,"moderate, middle of the road",2,middle class,northeast,,protestant,not very strong,yes,a great deal
P01285,Corporate reliance,,Female,30-44,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,38,1988,liberal,2,working class,south,"other rural (counties having no towns of 10,000 or more)",protestant,strong,yes,
P01286,Corporate reliance,,Female,45-59,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat,46,1980,extremely liberal,3,middle class,midwest,"other urban (counties having towns of 10,000 or more)",protestant,not very strong,no,
P01287,Corporate reliance,,Male,60+,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent,63,1963,"moderate, middle of the road",2,middle class,midwest,"other urban (counties having towns of 10,000 or more)",none,no religion,no,a great deal
P01288,Corporate reliance,,Female,30-44,Other,High school diploma / GED,"$56,000 to $99,999",Independent,32,1994,slightly liberal,2,working class,northeast,,none,,no,
P01289,Corporate reliance,,Female,45-59,Black / African American,Bachelor's degree,"$56,000 to $99,999",Independent,53,1973,conservative,4,middle class,south,suburbs of the remaining 100 largest smsas,protestant,,yes,a great deal
P01290,Corporate reliance,,Male,45-59,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,53,1973,"moderate, middle of the road",2,working class,midwest,,protestant,,yes,only some
P01291,Corporate reliance,,Male,18-29,White / Caucasian,High school diploma / GED,"$168,000 or more",Other,19,2007,extremely liberal,3,upper class,west,central city of 12 largest smsas,none,,no,a great deal
P01292,Corporate reliance,,Male,18-29,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Independent,25,2001,liberal,3,middle class,midwest,suburbs of the remaining 100 largest smsas,other,,no,only some
P01293,Corporate reliance,,Female,45-59,Hispanic / Latino,Less than high school,"$168,000 or more",Democrat,48,1978,"moderate, middle of the road",4,upper class,south,,protestant,strong,yes,only some
P01294,Corporate reliance,,Male,45-59,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Republican,54,1972,extremely conservative,2,upper class,northeast,suburbs of 12 largest smsas,catholic,,,
P01295,Corporate reliance,,Male,45-59,White / Caucasian,High school diploma / GED,"$168,000 or more",Other,57,1969,slightly liberal,4,working class,northeast,suburbs of 12 largest smsas,none,,no,a great deal
P01296,Corporate reliance,,Female,60+,Hispanic / Latino,High school diploma / GED,"$100,000 to $167,999",Democrat,62,1964,liberal,4,lower class,midwest,suburbs of the remaining 100 largest smsas,catholic,strong,no,a great deal
P01297,Corporate reliance,,Female,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Independent,68,1958,slightly conservative,2,lower class,south,suburbs of the remaining 100 largest smsas,catholic,,yes,only some
P01298,Corporate reliance,,Male,30-44,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Independent,44,1982,extremely conservative,2,working class,south,"other urban (counties having towns of 10,000 or more)",catholic,strong,yes,only some
P01299,Corporate reliance,,Male,30-44,Hispanic / Latino,Doctorate degree / Ph.D.,"$100,000 to $167,999",Other,36,1990,"moderate, middle of the road",3,middle class,south,,none,no religion,no,
P01300,Corporate reliance,,Female,30-44,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,39,1987,slightly liberal,2,middle class,midwest,,protestant,,yes,
P01301,Corporate reliance,,Female,18-29,Other,Less than high school,"Less than $30,000",Independent,22,2004,"moderate, middle of the road",1,lower class,midwest,,none,no religion,yes,a great deal
P01302,Corporate reliance,,Female,60+,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Democrat,66,1960,liberal,2,upper class,northeast,suburbs of 12 largest smsas,jewish,,no,a great deal
P01303,Corporate reliance,,Female,45-59,Hispanic / Latino,Bachelor's degree,"$100,000 to $167,999",Republican,55,1971,slightly conservative,2,working class,south,,catholic,,no,
P01304,Corporate reliance,,Female,60+,Black / African American,High school diploma / GED,"$100,000 to $167,999",Democrat,86,1940,"moderate, middle of the road",6,working class,northeast,,protestant,,no,
P01305,Corporate reliance,,Female,18-29,White / Caucasian,Bachelor's degree,"$168,000 or more",Democrat,22,2004,slightly liberal,3,middle class,south,"other urban (counties having towns of 10,000 or more)",none,,no,a great deal
P01306,Corporate reliance,,Female,60+,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Democrat,72,1954,extremely liberal,2,middle class,northeast,suburbs of 12 largest smsas,jewish,not very strong,no,
P01307,Corporate reliance,,Female,30-44,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Republican,44,1982,slightly conservative,3,middle class,midwest,"other rural (counties having no towns of 10,000 or more)",protestant,,no,only some
P01308,Corporate reliance,,Male,18-29,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Independent,26,2000,slightly liberal,2,lower class,midwest,,none,,no,
P01309,Corporate reliance,,Male,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,36,1990,"moderate, middle of the road",2,middle class,midwest,suburbs of the remaining 100 largest smsas,none,no religion,yes,a great deal
P01310,Corporate reliance,,Male,18-29,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,29,1997,conservative,2,working class,south,,protestant,strong,yes,hardly any
P01311,Corporate reliance,,Male,18-29,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Independent,19,2007,slightly conservative,2,middle class,midwest,"other urban (counties having towns of 10,000 or more)",catholic,strong,no,
P01312,Corporate reliance,,Male,45-59,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,45,1981,extremely liberal,1,middle class,south,central city of the remainder of the 100 largest smsas,none,,no,a great deal
P01313,Corporate reliance,,Female,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican,75,1951,conservative,2,working class,south,"other urban (counties having towns of 10,000 or more)",catholic,,no,only some
P01314,Corporate reliance,,Male,60+,Hispanic / Latino,Master's degree / Professional degree,"$168,000 or more",Democrat,77,1949,slightly liberal,2,middle class,south,,none,,no,
P01315,Corporate reliance,,Male,30-44,White / Caucasian,Bachelor's degree,"$168,000 or more",Other,35,1991,slightly conservative,4,middle class,northeast,central city of 12 largest smsas,catholic,not very strong,no,
P01316,Corporate reliance,,Female,18-29,White / Caucasian,High school diploma / GED,"$168,000 or more",Republican,27,1999,conservative,3,upper class,midwest,"other urban (counties having towns of 10,000 or more)",protestant,somewhat strong (vol.),no,only some
P01317,Corporate reliance,,Female,30-44,Hispanic / Latino,Bachelor's degree,"Less than $30,000",Democrat,36,1990,"moderate, middle of the road",7,working class,south,"other rural (counties having no towns of 10,000 or more)",catholic,not very strong,no,a great deal
P01318,Corporate reliance,,Female,18-29,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent,19,2007,slightly liberal,5,lower class,south,"other rural (counties having no towns of 10,000 or more)",protestant,,yes,only some
P01319,Corporate reliance,,Female,60+,Black / African American,High school diploma / GED,"$30,000 to $55,999",Democrat,87,1939,slightly liberal,1,middle class,west,suburbs of the remaining 100 largest smsas,protestant,strong,yes,
P01320,Corporate reliance,,Female,18-29,Hispanic / Latino,Some college or Associate's degree,"$100,000 to $167,999",Independent,21,2005,"moderate, middle of the road",7,middle class,west,suburbs of the remaining 100 largest smsas,protestant,strong,yes,
P01321,Corporate reliance,,Male,30-44,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,40,1986,conservative,1,middle class,midwest,central city of the remainder of the 100 largest smsas,none,,no,only some
P01322,Corporate reliance,,Male,60+,White / Caucasian,Less than high school,"$56,000 to $99,999",Democrat,67,1959,extremely liberal,3,working class,midwest,"other urban (counties having towns of 10,000 or more)",none,,no,a great deal
P01323,Corporate reliance,,Male,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat,63,1963,slightly conservative,2,middle class,northeast,central city of 12 largest smsas,catholic,strong,yes,only some
P01324,Corporate reliance,,Male,60+,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Other,84,1942,extremely conservative,2,working class,west,suburbs of the remaining 100 largest smsas,protestant,,no,a great deal
P01325,Corporate reliance,,Male,30-44,Black / African American,Some college or Associate's degree,"Less than $30,000",Independent,37,1989,"moderate, middle of the road",2,working class,northeast,central city of 12 largest smsas,protestant,,yes,hardly any
P01326,Corporate reliance,,Male,18-29,White / Caucasian,Less than high school,"Less than $30,000",Independent,25,2001,"moderate, middle of the road",2,lower class,west,suburbs of the remaining 100 largest smsas,other,,no,only some
P01327,Corporate reliance,,Female,45-59,White / Caucasian,High school diploma / GED,"Less than $30,000",Independent,54,1972,slightly liberal,2,working class,west,"other urban (counties having towns of 10,000 or more)",christian,,yes,a great deal
P01328,Corporate reliance,,Male,60+,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Democrat,66,1960,liberal,2,middle class,west,,protestant,not very strong,yes,a great deal
P01329,Corporate reliance,,Male,18-29,White / Caucasian,High school diploma / GED,"Less than $30,000",Democrat,19,2007,liberal,3,middle class,west,"other urban (counties having towns of 10,000 or more)",none,no religion,no,
P01330,Corporate reliance,,Male,30-44,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,36,1990,slightly liberal,2,working class,south,,none,,no,only some
P01331,Corporate reliance,,Male,18-29,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Independent,26,2000,slightly liberal,1,working class,midwest,central city of the remainder of the 100 largest smsas,catholic,,no,only some
P01332,Corporate reliance,,Female,45-59,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,47,1979,conservative,2,middle class,midwest,suburbs of the remaining 100 largest smsas,protestant,strong,no,only some
P01333,Corporate reliance,,Male,45-59,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Independent,50,1976,conservative,6,middle class,midwest,"other urban (counties having towns of 10,000 or more)",christian,,,
P01334,Corporate reliance,,Male,30-44,Black / African American,High school diploma / GED,"$100,000 to $167,999",Democrat,32,1994,slightly liberal,2,middle class,south,,none,,yes,only some
P01335,Corporate reliance,,Female,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,30,1996,conservative,4,working class,south,"other rural (counties having no towns of 10,000 or more)",protestant,,yes,only some
P01336,Corporate reliance,,Male,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Independent,73,1953,"moderate, middle of the road",2,middle class,west,central city of the remainder of the 100 largest smsas,none,,no,a great deal
P01337,Corporate reliance,,Female,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Independent,73,1953,extremely conservative,2,working class,south,"other urban (counties having towns of 10,000 or more)",catholic,,no,hardly any
P01338,Corporate reliance,,Male,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Other,40,1986,"moderate, middle of the road",5,working class,south,suburbs of 12 largest smsas,protestant,,yes,only some
P01339,Corporate reliance,,Male,30-44,White / Caucasian,Bachelor's degree,"$168,000 or more",Democrat,38,1988,liberal,2,middle class,west,,none,,no,a great deal
P01340,Corporate reliance,,Female,18-29,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Republican,28,1998,conservative,4,middle class,midwest,suburbs of the remaining 100 largest smsas,protestant,,,
P01341,Corporate reliance,,Female,18-29,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent,23,2003,"moderate, middle of the road",4,middle class,midwest,"other urban (counties having towns of 10,000 or more)",none,no religion,no,
P01342,Corporate reliance,,Male,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,32,1994,slightly conservative,1,working class,south,,protestant,,no,only some
P01343,Corporate reliance,,Female,18-29,White / Caucasian,High school diploma / GED,"$168,000 or more",Republican,27,1999,conservative,3,upper class,midwest,"other urban (counties having towns of 10,000 or more)",protestant,somewhat strong (vol.),no,only some
